naam,bouwjaar,kunstenaar,locatie,latitude,longitude,omschrijving,eigendom,bron,url
"Korfmacher","2008","stichting NOX","Hertogplein",51.844574,5.868534,"In oktober 2006 is op het Hertogplein archeologisch onderzoek uitgevoerd. De aanleiding hiervoor was de herinrichting van het plein. Tijdens dit onderzoek zijn de resten van de Hertsteegpoort en de aansluitende stadsmuur gevonden. Delen daarvan zijn nu op eigentijdse wijze herbouwd.

De Korfmacher is een granieten zuil met een venster op ooghoogte. Daarin is een foto geplaatst van Gerard Korfmacher, die in 1876 de vesting Nijmegen fotografeerde vóór de afbraak ervan. Op de plek waar de fotograaf in 1874 stond, is nu de Korfmacher geplaatst.
De werkelijkheid van toen vermengt zich daardoor met de situatie van nu.
De Korfmacher stadszijde staat op het Hertogplein. 
In de Hertogstraat, voor de ingang van de Fortisbank, bevindt zich de Korfmacher veldzijde.","gemeente Nijmegen","www.stichtingnox.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=747"
"Plastiek","1960","Frans Verhaak","Kroonstraat 148",51.846822,5.859374,"Deze bronzen plastiek hangt tussen vier palen op 10 meter hoogte. Hij hoort bij de Titus Brandsmakapel. 
Deze kapel staat op de plek waar de karmeliet Brandsma tijdens de oorlog door de Duitse bezetter werd opgepakt.
Hij werd vermoord in 1942 in concentratiekamp Dachau.
De architectuur van de kapel verwijst impliciet naar het kamp, de barak en de gevangeniscel van Titus Brandsma.

De vrijstaande en 12,5 meter hoge pyloon (steuntoren) vóór de kapel verwijst naar de wachttoren van het kamp. Het is een ontwerp van de Nijmeegse architect Dijkema, die ook de Titus Brandsmakapel ontwierp. 
De pyloon is samengesteld uit vier betonnen palen van ongelijke hoogte. Tussen de palen hangt de bronzen plastiek in de vorm van een mitrailleur, die is gericht op de Titus Brandsmakapel.  De plastiek is vervaardigd door de kunstenaar Frans Verhaak.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=748"
"Sgraffito","1955","Jac Maris","Broerstraat 44",51.846271,5.864340,"Dankzij de reclame van onze tijd valt niet meteen op dat de Broerstraat erg rijk is aan ornamentiek. Bijna elk winkelpand heeft een bescheiden detail of ornament, dat mooi wordt opgenomen in de gevelcompositie. 
Met eenvoudige middelen als een sierlijk gesmeed raamhek of een geperforeerde plaat voor het balkon is een aangenaam gevelbeeld gemaakt. Ook typerend voor de jaren vijftig en zestig is het sgraffito. Dit is een techniek van krassen in lagen met verschillende kleuren. 
Achter de drie balkonnetjes zijn tegen de donkere zijwand figuren getekend. Vrouwen en dieren (vogels en een hert) zijn vormgegeven met behulp van speelse witte lijnen.
Wanneer u met uw rug tegen de gevel van de zaak in huishoudelijke artikelen staat, kunt u deze vrolijke werken goed zien.","particulier","Leon van Meijel, 'De weelde van de soberheid', Nijmegen, 2004","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=750"
"Zonnewijzer","9999","LaSalle (Albert Goederond/Patty Struik)","Keplerstraat",51.811175,5.831423,"Zonnewijzer","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=752"
"Wandmozaiëk","1961","Onbekend","Prins Bernhardsingel (Wedren)",51.840825,5.865877,"Na de Tweede Wereldoorlog ontwierp de Nijmeegse architekt Charles Estourgie een kleuterschool net buiten het centrum van de stad.
De locatie was de Prins Bernhardsingel, aan de Wedren.
In de Wederopbouwperiode (1945-1975) probeerden kunstenaars en architecten samen te werken. Beeldende kunst probeerde men te integreren in gebouwen. 
Tegenwoordig zetelt de Vrije School in dit gebouw. Op de gevel aan de zijde van de Wedren, is een groot en kleurrijk mozaiëk aangebracht. De spelende kinderen zijn gestileerd weergegeven; dit past in de stroming die we de na-oorlogse figuratie noemen. Wie het mozaiëk ontworpen heeft is onbekend.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=754"
"Kubus","1972","Gerard Walraeven","Kanaalstraat/Mercuriusstraat (Westerpark)",51.851537,5.838388,"Van Gerard Walraeven staan nog zes beelden verspreid over de stad. Kenmerkend voor deze werken is, dat de kunstenaar zware materialen eruit laat zien alsof ze van een soepel materiaal zijn gemaakt. Deze kubus lijkt te worden 'afgepeld', waarbij vervolgens  een nieuwe vorm verschijnt. Het is deze 'onthulling', die het beeld zijn spanning geeft. Er is ruimte voor vele interpretaties;  dat maakt deze werken zo intrigerend. Vroeger stond de kubus in het plantsoen aan de Van 't Santstraat/ Dommer van Poldersveldtweg. Hij is gemaakt van roestvrijstaal en cortenstaal. De maten zijn 140 x 105 x 105 cm.                

De beeldentuin in het Westerpark in Nijmegen-West biedt ruimte om sculpturen die ooit van hun plek zijn verdrongen, opnieuw te laten zien aan het publiek. Vanuit een vroeger leven in de stad, met een tussenstop van jaren in depot, zijn ze verhuisd naar hun nieuwe bestemming: het Westerpark. De beelden dragen op deze manier bij aan het levend houden van een stukje geschiedenis van de stad. 
De kunstwerken dateren uit de tweede helft van de 20e eeuw. Een recenter werk is in 2010 aan de tuin  toegevoegd. 
De werken van Gerard Walraeven, Kees Wevers, Oscar Goedhart en Gerard Bruning staan in een eigentijds aangelegde heemtuin. Hier zijn verschillende biotopen aangelegd die van oorsprong in de omgeving van Nijmegen voorkomen en voorkwamen. Ook hier zijn verleden en heden met elkaar verbonden.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=755"
"Kubus met uitslag","1979","Gerard Walraeven","Weurtseweg (Westerpark)",51.853542,5.838785,"Deze 'kubus met uitslag'  lijkt familie te zijn van de andere kubus in het Westerpark. Ook bij deze kubus vindt er een 'onthulling' plaats. Met dit verschil dat de buitenste schil volledig is uitgeklapt. De glanzende binnenvorm is, op zijn grondvlak na, volledig zichtbaar. Door de glans van het gepolijste staal, wordt het licht en de omgeving gereflecteerd. Dit beeld is afkomstig uit het Julianapark en gemaakt van roestvrijstaal en cortenstaal. De maten zijn 105 x 300 x 310 cm.

De beeldentuin in het Westerpark in Nijmegen-West biedt ruimte om sculpturen die ooit van hun plek zijn verdrongen, opnieuw te laten zien aan het publiek. Vanuit een vroeger leven in de stad, met een tussenstop van jaren in depot, zijn ze verhuisd naar hun nieuwe bestemming: het Westerpark. De beelden dragen op deze manier  bij aan het levend houden van een stukje geschiedenis van de stad. 
De kunstwerken dateren uit de tweede helft van de 20e eeuw. Een recenter werk is in 2010 aan de tuin  toegevoegd. 
De werken van Gerard Walraeven, Kees Wevers, Oscar Goedhart en Gerard Bruning staan in een eigentijds aangelegde heemtuin. Hier zijn verschillende biotopen aangelegd die van oorsprong in de omgeving van Nijmegen voorkomen en voorkwamen. Ook hier zijn verleden en heden met elkaar verbonden.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=756"
"Zonder titel","1976","Gerard Walraeven","Rivierstraat (Westerpark)",51.852979,5.839118,"Dit object van Gerard Walraeven heeft jarenlang in het depot van de gemeente Nijmegen gelegen. Aanvankelijk werd aangenomen dat het werk bestond uit 4 delen en dat er een deel gemist werd. Overleg met de kunstenaar wees uit dat het beeld bestaat uit slechts 3 delen. Het wordt in een vierkantcompositie tegen elkaar gelegd: drie kwadraten in staal en één kwadraat als leegte. Wat zijn de afwegingen van de kunstenaar geweest om het beeld zijn huidige vorm te geven?  Het kunstwerk is in staat om deze vraag op te roepen; het is aan de toeschouwer te fantaseren over de mogelijke antwoorden.... 
De drie vierkanten zijn gemaakt van cortenstaal. Deel 1 meet 180 x 200 x 200 cm, deel 2 meet 100 x 200 x 200 cm en deel 3 meet 70 x 200 x 200 cm.

De beeldentuin in het Westerpark in Nijmegen-West biedt ruimte om sculpturen die ooit van hun plek zijn verdrongen, opnieuw te laten zien aan het publiek. Vanuit een vroeger leven in de stad, met een tussenstop van jaren in depot, zijn ze verhuisd naar hun nieuwe bestemming: het Westerpark. De beelden dragen op deze manier  bij aan het levend houden van een stukje geschiedenis van de stad. 
De kunstwerken dateren uit de tweede helft van de 20e eeuw. Een recenter werk is in 2010 aan de tuin  toegevoegd. 
De werken van Gerard Walraeven, Kees Wevers, Oscar Goedhart en Gerard Bruning en staan in een eigentijds aangelegde heemtuin. Hier zijn verschillende biotopen aangelegd die van oorsprong in de omgeving van Nijmegen voorkomen en voorkwamen. Ook hier zijn verleden en heden met elkaar verbonden.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=757"
"Werken met licht en ruimte","1990","","Eerste Oude Heselaan/Rivierstraat (Westerpark)",51.851824,5.838911,"In eerste instantie lijkt er geen relatie te bestaan tussen deze twee hoekige vormen bovenop een hoger gelegen deel in het park. Bij nadere beschouwing blijkt het hier om 2 identieke objecten te gaan. Dit ervaar je als je tussen de kolossen in gaat staan. Dan pas ervaar je ook de sterke  ruimtelijke werking die uitgaat van deze monumentale sculptuur. Deze werken maakten ooit deel uit van een omgevingskunstwerk. Het bestond verder nog uit betonklinkers, graniet en berkenbeplanting. Alleen de cortenstalen delen zijn nog over. Het plantsoen waar ze ooit stonden (aan de Oude Weurtseweg/ Eerste Oude Heeselaan), is nu ingericht als speelveld. De objecten meten elk 250 x 270 x 270 cm.

De beeldentuin in het Westerpark in Nijmegen-West biedt ruimte om sculpturen die ooit van hun plek zijn verdrongen, opnieuw te laten zien aan het publiek. Vanuit een vroeger leven in de stad, met een tussenstop van jaren in depot, zijn ze verhuisd naar hun nieuwe bestemming: het Westerpark. De beelden dragen op deze manier  bij aan het levend houden van een stukje geschiedenis van de stad. 
De kunstwerken dateren uit de tweede helft van de 20e eeuw. Een recenter werk is in 2010 aan de tuin  toegevoegd. 
De werken van Gerard Walraeven, Kees Wevers, Oscar Goedhart en Gerard Bruning staan in een eigentijds aangelegde heemtuin. Hier zijn verschillende biotopen aangelegd die van oorsprong in de omgeving van Nijmegen voorkomen en voorkwamen. Ook hier zijn verleden en heden met elkaar verbonden.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=758"
"Sculptuur","1973","Oscar Goedhart","Kanaalstraat (Westerpark)",51.850792,5.838740,"Van de twee sculpturen van Oscar Goedhart in het Westerpark weten we alleen dat ze ooit deel uitmaakten van een fontein. Verder zijn er geen achtergronden bekend. Deze halfliggende vrouwenfiguur is schetsmatig, dus niet letterlijk, weergegeven. Ze is gemaakt van brons. Het patina ligt dicht bij de bruin rode kleur van het brons zelf.  

Oscar Goedhart heeft ook de Schikgodinnen op het Hertogplein gemaakt en de Sculptuur aan de voet van de trappen bij de Stikke Hezelstraat. Zij zijn in stijl verwant met de figuren in het Westerpark. In Nijmegen staan 10 beelden van Oscar Goedhart.

De beeldentuin in het Westerpark in Nijmegen-West biedt ruimte om sculpturen die ooit van hun plek zijn verdrongen, opnieuw te laten zien aan het publiek. Vanuit een vroeger leven in de stad, met een tussenstop van jaren in depot, zijn ze verhuisd naar hun nieuwe bestemming: het Westerpark. De beelden dragen op deze manier  bij aan het levend houden van een stukje geschiedenis van de stad. 
De kunstwerken dateren uit de tweede helft van de 20e eeuw. Een recenter werk zal nog aan de tuin worden toegevoegd. 
De werken van Gerard Walraeven, Kees Wevers, Oscar Goedhart, Gerard Bruning en Gerrie van der Velden staan in een eigentijds aangelegde heemtuin. Hier zijn verschillende biotopen aangelegd die van oorsprong in de omgeving van Nijmegen voorkomen en voorkwamen. Ook hier zijn verleden en heden met elkaar verbonden.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=760"
"Steen","1977","Gerard Bruning","Rivierstraat (Westerpark)",51.851731,5.839555,"Deze sculptuur van Gerard Bruning is gemaakt van Petit Granit (Belgische hardsteen). De steen is intensief bewerkt;  de sporen van het beeldhouwersgereedschap zijn zichtbaar. De textuur (huid) van het kunstwerk is ruw van karakter. In de lengterichting is een symmetrische vorm te zien, met afgeronde hoeken. Ondanks het harde materiaal heeft de steen een zachte, haast poëtische uitstraling.

De beeldentuin in het Westerpark in Nijmegen-West biedt ruimte om sculpturen die ooit van hun plek zijn verdrongen, opnieuw te laten zien aan het publiek. Vanuit een vroeger leven in de stad, met een tussenstop van jaren in depot, zijn ze verhuisd naar hun nieuwe bestemming: het Westerpark. De beelden dragen op deze manier  bij aan het levend houden van een stukje geschiedenis van de stad. 
De kunstwerken dateren uit de tweede helft van de 20e eeuw. Een recenter werk is in 2010  aan de tuin toegevoegd. 
De werken van Gerard Walraeven, Kees Wevers, Oscar Goedhart en Gerard Bruning staan in een eigentijds aangelegde heemtuin. Hier zijn verschillende biotopen aangelegd die van oorsprong in de omgeving van Nijmegen voorkomen en voorkwamen. Ook hier zijn verleden en heden met elkaar verbonden.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=761"
"Nature Vivante","1975","Ed van Teeseling","Professor Bellefroidstraat 11",51.828512,5.867503,"Dit kunstwerk van kalkzandsteen is speciaal ontworpen voor de Franseplaats, het plein waar vroeger Museum de Commanderie van St. Jan was gelegen. 
Na restauratie is het werk in 2010 herplaatst; het staat nu voor de ingang van de gemeentelijke brandweerkazerne.

De twee meter hoge sculptuur heeft groei en natuur als onderwerp.
Tijdens de ontwikkeling die de kunstenaar doormaakte, verdiepte zich het inzicht dat de natuur de oorsprong is van alles. Dit leidde tot een serie werken met als thema 'groei'.
Nature Vivante (levende natuur) is daar een voorbeeld van. Vanuit de basis begint de groei, de natuur leeft en de vorm bot uit. Dit kun je zien aan de 'voortgang'  naar boven in het beeld.

De opdracht voor dit beeld was van bijzondere betekenis voor de kunstenaar. Het betekende dat hij een groot en monumentaal beeld kon maken, een investering die hij zelf niet kon doen. 
Verschillende keren ging de kunstenaar samen met zijn vrouw naar de Franseplaats om schetsen te maken. Zijn vrouw fungeerde dan als model voor de juiste plaatsbepaling en maatverhouding. 
Het maken van een beeld van dergelijk formaat vereist een enorme fysieke inspanning. Want alle vormen worden met hand en beitel uitgehakt. Aan het hakken hield de kunstenaar een zogenaamde tenniselleboog over…na behandeling bleef dit een zwakke plek die nooit is weggegaan.","gemeente Nijmegen","www.edvanteeseling.wordpress.com","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=762"
"zonder titel","2010","","Mercuriusstraat (Westerpark)",51.852600,5.838042,"Met dit werk heeft Tom Claassen het Westerpark verrijkt met een bijzonder eigentijds beeldhouwwerk. De meeste beelden die Claassen maakte voor de openbare ruimte zijn dikke, logge beesten of figuren met een haast aandoenlijke uitstraling en/of een bijzonder hoge aaibaarheidsfactor. Het beeld dat geen titel heeft meegekregen, laat een kikkerfiguur zien met buitengewone proporties. Het beest is solide en robuust, maar heeft desondanks een vriendelijke en zachte uitstraling. Door de kwabbige vormen lijkt hij zelfs een beetje goeiig.

De diersculpturen van Tom Claassen zijn gestileerde beesten  met een hoge 'aaibaarheidsfactor'. Ze zijn vaak groter dan de dieren in de werkelijkheid. De beeldhouwer speelt met volumes, abstrahering en verhoudingen. Aan de huid van het werk is vaak veel aandacht besteed. Deze eigenschappen bezitten alle dierfiguren die Claassen de afgelopen jaren in de buitenruimte heeft geplaatst.

De beeldentuin in het Westerpark  is niet opgezet om alleen oudere werken een plek te geven. Het is bedoeld als plaats waar beelden uit verschillende perioden bij elkaar komen. Vandaar dat een eigentijds beeld niet mocht ontbreken. De gemeente Nijmegen heeft op advies van de commissie beeldende kunst Nijmegen en in samenspraak met het buurtcomité Beeldentuin Park West, kunstenaar Tom Claassen opdracht gegeven om een werk te realiseren.

De beeldentuin in het Westerpark in Nijmegen-West is bedoeld als plaats waar beelden uit verschillende perioden bij elkaar komen. Naast eigentijds werk biedt de beeldentuin ruimte om sculpturen die ooit van hun plek zijn verdrongen, opnieuw te laten zien aan het publiek. Vanuit een vroeger leven in de stad, met een tussenstop van jaren in depot, zijn ze verhuisd naar hun nieuwe bestemming: het Westerpark. De werken van Gerard Walraeven, Kees Wevers, Oscar Goedhart, Gerard Bruning en Tom Claassen staan in een eigentijds aangelegde heemtuin. Hier zijn verschillende biotopen aangelegd die van oorsprong in de omgeving van Nijmegen voorkomen en voorkwamen. Ook hier zijn verleden en heden met elkaar verbonden.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=763"
"De Nachtwachter","2011","","Couwenberghstraat",51.806365,5.826028,"Dit kunstwerk is speciaal voor dit park in deze wijk gemaakt. Dat is een van de redenen waarom juist hier voor deze kunstenaar gekozen is. Een wijkcomité is van het begin af aan bij de opdracht betrokkenen, heeft het ontwikkelingsproces kritisch gevolgd en de kunstenaar van informatie en ideeën voorzien. Hierdoor ontstond er al snel een klein pakket van eisen waaraan het beeld zou moeten voldoen. Het moest een begrijpbaar beeld worden, dat was snel duidelijk. Hatert is nu een gemêleerde wijk, maar is in eerste instantie gebouwd als een arbeiderswijk. De geschiedenis van de wijk, hoe het hier vergaan is en vergaat is belangrijk en krijgt in het beeld zijn weerslag. 
Door wat er allemaal speelde in de wijk, er waren nogal wat strubbelingen, ontstond het uitgangspunt van een wachter, een beeld van iemand of van iets, dat over het gebied waakt. Verschillende ideeën zijn daarvoor ontwikkeld, maar een uil was de oplossing. Een uil heeft de betekenis van een waker en is verbonden met de nacht. In alle culturen, staat de uil voor wijsheid. Die combinatie van nacht, bewaker en wijsheid, is voor een beeld hier in de wijk Hatert interessant. Een uil is een wonderlijk dier dat geruisloos kan vliegen en ongelooflijk goed kan zien en horen. Juist op deze plek, op het heuveltje in het park, door dat hoge standpunt, kijkt hij uit over het park en de wijk. Daarnaast zit hij ook nog eens een keer op een aambeeld, het symbool voor arbeid en kracht. Dat is weer een link met de geschiedenis van de wijk. In de loop van het ontwikkelingsproces ontstond het idee nóg iets bijzonders toe te voegen aan het beeld dat ook weer ontleend is aan een bijzondere eigenschap van dit dier. De grote kop staat op een lager en kan bij harde wind draaien; de oogkassen werken als een soort zeil. Het idee van de speurende waker wordt hiermee nog een keer op verrassende wijze verbeeld. 
Voordat het beeld in aluminium gegoten is, is het in het groot uit piepschuim gesneden. Dat materiaal is nu, na het gieten in de huid van het aluminium nog goed zichtbaar. Je kunt zien dat dat snijden en gutsen niet heel gedetailleerd en vrij snel gedaan is. De huid is robuust en de grote, voor uilen zo kenmerkende oogkassen lijken in één gebaar te zijn uitgehold. In de techniek, zoals het beeld in elkaar is gezet, uit twee delen, zit ook een verwijzing naar speelgoed. Je ziet de lasnaad van de twee delen over de lengte lopen. Die lasnaad is wel afgewerkt, maar nog steeds zichtbaar. Goedkoop blikken speelgoed wordt ook zo in twee delen aan elkaar geklonken. Het beeld gaat over die oogkassen, die zijn het belangrijkst. Dat is benadrukt door veel van de andere details, bijvoorbeeld de klauwen, minder uit te gutsen. Het is een intuïtieve verschijning van dat type beest. Daarom de sterke focus op die oogkassen. Ze omvatten bijna eenderde van het beeld. Alphons ter Avest beoogde een beeld wat zich in betekenis, en techniek met de locatie verbindt; dat het alleen maar zó kan zijn voor deze plek. Een wakende uil voor het parkje in Hatert Nijmegen: De Nachtwachter.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=764"
"Lichtsculptuur","2010","","Gebroeders van Limburgplein",51.847444,5.859747,"De rijke historie van de Hessenberg heeft als inspiratie gediend voor dit kunstwerk. Het ligt in de oude benedenstad aan de voet van de heuvel waar vroeger het grote klooster 'Hessenberg'  lag. Later, in 1638, werd er in het gebouw het  Arme Kinderen Weeshuis gevestigd.  Daarvan resteert alleen nog het  toegangspoortje uit 1640.  De rest is eind jaren ’90 van de twintigste eeuw afgebroken vanwege het nieuwbouwproject ‘Flash Gordon’. Dit stuitte op veel weerstand bij de Nijmegenaren omdat het niet in de oude benedenstad zou passen.  Het huidige ontwerp volgt het oude stratenplan; ook zijn de contouren van de verdwenen kloosters opgenomen in de pleinen tussen de woningen.
De sculptuur van Marinus Boezem gaat in op de religieuze en sociale impact van deze plek. De kunstenaar heeft daarbij  niet gekozen voor een illustratie van de historie, maar om een fenomeen van TOEN te transporteren naar NU.
De lichtsculptuur ligt als toevallig op zijn plaats en geeft in marmer  de lichtval weer van twee vroeg-gothische ramen.  De kunstenaar heeft  het 'oude licht' van een 'cloitre' (koorgang) uit de 12e eeuw verbeeld in miljoenen jaren oud materiaal uit de aarde - marmer-. Hij verwijst  daarbij naar een uitspraak van de 12e eeuwse filosoof Robert Grossesteste, die zegt dat het licht het begin is  van vorm, ofwel: geen vorm zonder licht. 
Met de begrippen licht en donker zijn we allemaal vertrouwd. Zij beïnvloeden het leven en worden gebruikt om begrippen zoals goed en kwaad en geest en materie uit te drukken. De omzetting van het licht (uit de koorgang) naar het eeuwenoude marmer, is een verwijzing naar het eeuwige licht. Hierdoor krijgt het beeld een universele en autonome waarde. 
De marmeren platen hebben tevens gebruikswaarde als zitelement.
Aansluitend maakte H.H. ter Balkt voor dit plein een  dichtregel die ook de historische lading van deze bijzondere plek vangt. De regel is gehakt uit de grijze natuurstenen wand op het plein.
'Halverwege Hibernia en de Tigris strijken de lange eeuwen voorbij Valkhof en Weeshuis van Noviomagi. De as van het brandende stadshart verwoei bij de Klingklang, maar Vrede verlichtte hier de woeste gronden, en waar de bijlen zwijgen en 't sprakeloze stof nu verstomt, stroomt glorierijk weer zeewaarts de Waal.'","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=765"
"On the road","2011","","Westkanaaldijk, St.Agnetenweg",51.832642,5.806317,"Door de aanleg van het Maas-Waalkanaal in de twintiger jaren van de vorige eeuw werd het voormalige dorpje Neerbosch rigoureus door midden gedeeld en de Dorpsstraat, een eeuwenoude verbindingsweg, onherstelbaar onderbroken. Aan de oostzijde van het kanaal ontstond wijk Neerbosch-Oost. Het westelijk deel werd opgeslokt door stadsuitbreiding Lindenholt. Dat de huidige Dorpsstraat in Neerbosch-Oost en de St. Agnetenweg in Lindenholt vroeger één Dorpsstraat waren, is slechts in kleine landschappelijke en architectonische details zichtbaar.
Al decennialang leeft de wens bij bewoners aan beide zijden van het kanaal, om iets van de oude verbinding opnieuw zichtbaar te maken. In opdracht van de gemeente Nijmegen en in een nauwe samenwerking van een bewonerscommissie met de Commissie Beeldende
Kunst Nijmegen is het kunstwerk ‘ON THE ROAD'van Rob Sweere tot stand gekomen.

Met het kunstwerk ‘On the Road’ realiseert Rob Sweere op denkbeeldige wijze een brug over het Maas-Waalkanaal. Een brug die er ooit effectief had kunnen of had moeten zijn. Het kunstwerk bestaat uit twee identieke delen die elk aan een oever van het kanaal tegenover elkaar opgesteld staan, daar waar de vroegere Dorpsstraat liep. Zittend in het werk kijken we door het vizier naar de overkant en zien we ook degene die van daaruit naar ons kijkt. De toeschouwer maakt dus niet alleen contact met de persoon die eventueel pal voor hem zit, maar ook met degene die zich in een identieke situatie aan de overkant bevindt. Op die manier zien we door het werk heen, de Dorpsstraat van weleer.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=767"
"On the road","2011","","Oostkanaaldijk, Dorpsstraat",51.833576,5.808249,"Door de aanleg van het Maas-Waalkanaal in de twintiger jaren van de vorige eeuw werd het voormalige dorpje Neerbosch rigoureus door midden gedeeld en de Dorpsstraat, een eeuwenoude verbindingsweg, onherstelbaar onderbroken. Aan de oostzijde van het kanaal ontstond wijk Neerbosch-Oost. Het westelijk deel werd opgeslokt door stadsuitbreiding Lindenholt. Dat de huidige Dorpsstraat in Neerbosch-Oost en de St. Agnetenweg in Lindenholt vroeger één Dorpsstraat waren, is slechts in kleine landschappelijke en architectonische details zichtbaar.
Al decennialang leeft de wens bij bewoners aan beide zijden van het kanaal, om iets van de oude verbinding opnieuw zichtbaar te maken. In opdracht van de gemeente Nijmegen en in een nauwe samenwerking van een bewonerscommissie met de Commissie Beeldende
Kunst Nijmegen is het kunstwerk ‘ON THE ROAD'van Rob Sweere tot stand gekomen.

Met het kunstwerk ‘On the Road’ realiseert Rob Sweere op denkbeeldige wijze een brug over het Maas-Waalkanaal. Een brug die er ooit effectief had kunnen of had moeten zijn. Het kunstwerk bestaat uit twee identieke delen die elk aan een oever van het kanaal tegenover elkaar opgesteld staan, daar waar de vroegere Dorpsstraat liep. Zittend in het werk kijken we door het vizier naar de overkant en zien we ook degene die van daaruit naar ons kijkt. De toeschouwer maakt dus niet alleen contact met de persoon die eventueel pal voor hem zit, maar ook met degene die zich in een identieke situatie aan de overkant bevindt. Op die manier zien we door het werk heen, de Dorpsstraat van weleer.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=768"
"Data-fossiel","2011","","Scholenhof, St. Josephhof",51.845807,5.869827,"St. Josephhof is een bijzondere plek in het hart van Nijmegen vanwege de oude geschiedenis van deze locatie. De identiteit wordt voor een groot deel bepaald door de aanwezigheid van de Romeinen. Data-fossiel verwijst naar de vele opgravingen en versterkt hiermee het besef dat het de bodem zelf is waar de geschiedenis en haar informatie is opgeslagen.
Het kunstwerk bevat meerdere facetten van de geschiedenis: de Romeinen, het tragische bombardement op de St. Josephschool die hier stond en het heden.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=769"
"Bokspringende kinderen","2011","Nic Jonk","Archimedesstraat, Edisonstraat, Van Peltlaan",51.809467,5.848152,"In dit beeld van twee bokspringende meisjes staat het ene meisje voorover gebogen, terwijl het andere vanachter op haar rug springt. De vaart van de sprong zit er als het ware nog in. Daardoor heeft het beeld een dynamische uitstraling.

Een thematische relatie tussen dit kunstwerk en zijn standplaats, een plantsoen in de naoorlogse wijk Grootstal, is er niet. Vanaf de jaren vijftig verschijnen er op meerdere plaatsen in de stad beelden, zonder dat ze een inhoudelijke verbondenheid met de plek hebben. Onder invloed van de internationele openluchttentoonstellingen (zoals Sonsbeek in Arnhem, Middelheim bij Antwerpen) neemt de belangstelling voor het plaatsen van kunst in de openbare ruimte toe. De plantsoenen in de vaak ruim opgezette, naoorlogse wijken lenen zich bij uitstek voor dit doel.

Na diefstal in 2010 is een nieuwe gieting in 2011 geplaatst.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=770"
"Zonder titel","2003","","Viaductweg, fietserstunnel winkelcentrum Dukenburg.",51.824307,5.797219,"Muurschildering gemaakt in opdracht van de winkeliersvereniging Dukenburg.","onbekend","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=772"
"Zonder titel.","1996","","Resedastraat hoek Hatertseveldweg",51.834949,5.842903,"Muurschilderingen gemaakt in opdracht van Portaal (voorheen woningstichting Nijmegen).","Onbekend","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=773"
"Zonder titel.","2012","","Hessenberg 1",51.847651,5.797219,"Muurschildering gemaakt in opdracht van gemeente Nijmegen.","Onbekend","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=774"
"Zonder titel","1989","","Mr. Hermanstraat",51.847422,5.865752,"Geen omschrijving.","Onbekend","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=775"
"De Verbinding","1978","","Laauwikstraat, De Spil",51.863494,5.864795,"Het object  "De Verbinding" is gemaakt  in 1978 in opdracht van de gemeente Elst.
Als oud Lentenaar, werd de kunstenaar gevraagd een duidelijk signaal object te maken voor de toen nog jonge gymnastiekzaal.  Deze zaal is later verbouwd tot een sporthal waarbij het object naar de zijgevel verplaatst is.

Henk Maassen studeerde destijds aan de AKI in Enschede heeft deze opdracht tevens gebruikt in zijn afstudeerproject.
Om de voorgevel van het gebouw een meer duidelijke herkenning te geven heeft hij gekozen voor een polyestermuurobject dat ontworpen is in de primaire kleuren. 

Het object symboliseert de diverse stromingen in de maatschappij en toch vormen ze samen een sterke driehoeksband. Je zou dat kunnen vergelijken met het zo typisch Hollands poldersysteem dat in de loop der eeuwen hier is ontwikkeld. Het  "Heden" , het "Verleden" en de  "Toekomst"  gesymboliseerd in de primaire kleuren, versterken dit geheel.","gemeente Nijmegen","www.","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=777"
